==17508== NVPROF is profiling process 17508, command: ./MC_EstimatePiInlineQ 0
==17508== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==17508== Profiling application: ./MC_EstimatePiInlineQ 0
==17508== Profiling result:
==17508== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"sm_efficiency","Multiprocessor Activity",95.778431%,95.778431%,95.778431%
"GeForce GTX 950 (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"achieved_occupancy","Achieved Occupancy",0.989153,0.989153,0.989153
"GeForce GTX 950 (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"ipc","Executed IPC",0.108047,0.108047,0.108047
"GeForce GTX 950 (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"issued_ipc","Issued IPC",0.110182,0.110182,0.110182
"GeForce GTX 950 (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"inst_per_warp","Instructions per warp",694.064433,694.064433,694.064433
"GeForce GTX 950 (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"warp_execution_efficiency","Warp Execution Efficiency",98.809098%,98.809098%,98.809098%
"GeForce GTX 950 (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.088704%,98.088704%,98.088704%
"GeForce GTX 950 (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.004178,0.004178,0.004178
"GeForce GTX 950 (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"issue_slot_utilization","Issue Slot Utilization",2.555274%,2.555274%,2.555274%
"GeForce GTX 950 (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void computeValue<float, curandStateSobol32>(unsigned int*, curandStateSobol32*, unsigned int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
