==17580== NVPROF is profiling process 17580, command: ./MC_EstimatePiQ 0
==17580== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==17580== Profiling application: ./MC_EstimatePiQ 0
==17580== Profiling result:
==17580== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"sm_efficiency","Multiprocessor Activity",65.238945%,65.238945%,65.238945%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"achieved_occupancy","Achieved Occupancy",0.872376,0.872376,0.872376
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"ipc","Executed IPC",1.116840,1.116840,1.116840
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"issued_ipc","Issued IPC",1.190756,1.190756,1.190756
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"inst_per_warp","Instructions per warp",219.061856,219.061856,219.061856
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"warp_execution_efficiency","Warp Execution Efficiency",96.226808%,96.226808%,96.226808%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",93.944347%,93.944347%,93.944347%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.017683,0.017683,0.017683
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"issue_slot_utilization","Issue Slot Utilization",26.921275%,26.921275%,26.921275%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"shared_store_transactions","Shared Store Transactions",1164,1164,1164
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"shared_load_transactions","Shared Load Transactions",1649,1649,1649
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gld_transactions","Global Load Transactions",50000,50000,50000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gst_transactions","Global Store Transactions",97,97,97
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"dram_read_transactions","Device Memory Read Transactions",12748,12748,12748
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"dram_write_transactions","Device Memory Write Transactions",3161,3161,3161
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"global_hit_rate","Global Hit Rate",50.000000%,50.000000%,50.000000%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gld_requested_throughput","Requested Global Load Throughput",62.757586GB/s,62.757586GB/s,62.757172GB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gst_requested_throughput","Requested Global Store Throughput",31.167927MB/s,31.167927MB/s,30.517578MB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gld_throughput","Global Load Throughput",62.757586GB/s,62.757586GB/s,62.757172GB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gst_throughput","Global Store Throughput",249.343419MB/s,249.343419MB/s,248.908997MB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"dram_read_throughput","Device Memory Read Throughput",32.001348GB/s,32.001348GB/s,32.001175GB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"dram_write_throughput","Device Memory Write Throughput",7.935069GB/s,7.935069GB/s,7.934868GB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"tex_cache_throughput","Unified Cache Throughput",62.757586GB/s,62.757586GB/s,62.757172GB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"shared_load_throughput","Shared Memory Load Throughput",16.557961GB/s,16.557961GB/s,16.557053GB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"shared_store_throughput","Shared Memory Store Throughput",11.687973GB/s,11.687973GB/s,11.687167GB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gst_efficiency","Global Memory Store Efficiency",12.500000%,12.500000%,12.500000%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"tex_cache_transactions","Unified Cache Transactions",25000,25000,25000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"tex_fu_utilization","Texture Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
