==17398== NVPROF is profiling process 17398, command: ./SobolQRNG 0
==17398== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==17398== Profiling application: ./SobolQRNG 0
==17398== Profiling result:
==17398== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"sm_efficiency","Multiprocessor Activity",96.577143%,96.577143%,96.577143%
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"achieved_occupancy","Achieved Occupancy",0.504107,0.504107,0.504107
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"ipc","Executed IPC",2.174701,2.174701,2.174701
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"issued_ipc","Issued IPC",2.163627,2.163627,2.163627
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"inst_per_warp","Instructions per warp",32896.000000,32896.000000,32896.000000
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.977201%,99.977201%,99.977201%
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000086,0.000086,0.000086
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"issue_slot_utilization","Issue Slot Utilization",48.934637%,48.934637%,48.934637%
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"shared_store_transactions","Shared Store Transactions",100,100,100
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"shared_load_transactions","Shared Load Transactions",313700,313700,313700
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"gld_transactions","Global Load Transactions",800,800,800
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"gst_transactions","Global Store Transactions",1250000,1250000,1250000
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"dram_read_transactions","Device Memory Read Transactions",56,56,56
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"dram_write_transactions","Device Memory Write Transactions",1246542,1246542,1246542
"GeForce GTX 950 (0)","sobolGPU_kernel(unsigned int, unsigned int, unsigned int*, float*)",1,"global_hit_rate","Global Hit Rate",50.000000%,50.000000%,50.000000%
