==17336== NVPROF is profiling process 17336, command: ./batchCUBLAS 0
==17336== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==17336== Profiling application: ./batchCUBLAS 0
==17336== Profiling result:
==17336== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","maxwell_dgemmBatched_64x64_raggedMn_nn",1,"sm_efficiency","Multiprocessor Activity",87.171556%,87.171556%,87.171556%
"GeForce GTX 950 (0)","maxwell_dgemmBatched_64x64_raggedMn_nn",1,"achieved_occupancy","Achieved Occupancy",0.115907,0.115907,0.115907
"GeForce GTX 950 (0)","maxwell_dgemmBatched_64x64_raggedMn_nn",1,"ipc","Executed IPC",0.164935,0.164935,0.164935
"GeForce GTX 950 (0)","maxwell_dgemmBatched_64x64_raggedMn_nn",1,"issued_ipc","Issued IPC",0.156842,0.156842,0.156842
"GeForce GTX 950 (0)","maxwell_dgemmBatched_64x64_raggedMn_nn",1,"inst_per_warp","Instructions per warp",11942.000000,11942.000000,11942.000000
"GeForce GTX 950 (0)","maxwell_dgemmBatched_64x64_raggedMn_nn",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","maxwell_dgemmBatched_64x64_raggedMn_nn",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","maxwell_dgemmBatched_64x64_raggedMn_nn",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",97.203286%,97.203286%,97.203286%
"GeForce GTX 950 (0)","maxwell_dgemmBatched_64x64_raggedMn_nn",1,"inst_replay_overhead","Instruction Replay Overhead",0.000350,0.000350,0.000350
"GeForce GTX 950 (0)","maxwell_dgemmBatched_64x64_raggedMn_nn",1,"issue_slot_utilization","Issue Slot Utilization",3.921057%,3.921057%,3.921057%
"GeForce GTX 950 (0)","maxwell_dgemmBatched_64x64_raggedMn_nn",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.985816,1.985816,1.985816
"GeForce GTX 950 (0)","maxwell_dgemmBatched_64x64_raggedMn_nn",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",3.363934,3.363934,3.363934
"GeForce GTX 950 (0)","maxwell_dgemmBatched_64x64_raggedMn_nn",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
