==13585== NVPROF is profiling process 13585, command: ./convolutionTexture 0
==13585== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13585== Profiling application: ./convolutionTexture 0
==13585== Profiling result:
==13585== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"sm_efficiency","Multiprocessor Activity",99.772439%,99.795825%,99.783415%
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"achieved_occupancy","Achieved Occupancy",0.835755,0.843512,0.839337
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"ipc","Executed IPC",1.308695,1.316620,1.309936
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"issued_ipc","Issued IPC",1.308616,1.309716,1.309336
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"inst_per_warp","Instructions per warp",96.000000,96.000000,96.000000
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.958333%,98.958333%,98.958333%
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"inst_replay_overhead","Instruction Replay Overhead",0.000079,0.000087,0.000083
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"issue_slot_utilization","Issue Slot Utilization",28.626312%,28.650369%,28.642076%
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","convolutionRowsKernel(float*, int, int)",10,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
