==13977== NVPROF is profiling process 13977, command: ./dxtc 0
==13977== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13977== Profiling application: ./dxtc 0
==13977== Profiling result:
==13977== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","compress(unsigned int const *, unsigned int const *, uint2*, int)",8,"sm_efficiency","Multiprocessor Activity",99.556202%,99.818462%,99.738505%
"GeForce GTX 950 (0)","compress(unsigned int const *, unsigned int const *, uint2*, int)",8,"achieved_occupancy","Achieved Occupancy",0.306261,0.307747,0.307343
"GeForce GTX 950 (0)","compress(unsigned int const *, unsigned int const *, uint2*, int)",8,"ipc","Executed IPC",2.956326,2.977062,2.965821
"GeForce GTX 950 (0)","compress(unsigned int const *, unsigned int const *, uint2*, int)",8,"issued_ipc","Issued IPC",2.953750,2.979634,2.966054
"GeForce GTX 950 (0)","compress(unsigned int const *, unsigned int const *, uint2*, int)",8,"inst_per_warp","Instructions per warp",5118.537500,5118.557292,5118.546267
"GeForce GTX 950 (0)","compress(unsigned int const *, unsigned int const *, uint2*, int)",8,"branch_efficiency","Branch Efficiency",98.958359%,98.958372%,98.958365%
"GeForce GTX 950 (0)","compress(unsigned int const *, unsigned int const *, uint2*, int)",8,"warp_execution_efficiency","Warp Execution Efficiency",96.266176%,96.266535%,96.266376%
"GeForce GTX 950 (0)","compress(unsigned int const *, unsigned int const *, uint2*, int)",8,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",94.104485%,94.113809%,94.107900%
"GeForce GTX 950 (0)","compress(unsigned int const *, unsigned int const *, uint2*, int)",8,"inst_replay_overhead","Instruction Replay Overhead",0.000012,0.000021,0.000014
"GeForce GTX 950 (0)","compress(unsigned int const *, unsigned int const *, uint2*, int)",8,"issue_slot_utilization","Issue Slot Utilization",59.727299%,60.250672%,59.976069%
"GeForce GTX 950 (0)","compress(unsigned int const *, unsigned int const *, uint2*, int)",8,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.391026,1.391026,1.391026
"GeForce GTX 950 (0)","compress(unsigned int const *, unsigned int const *, uint2*, int)",8,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.749940,0.753131,0.751249
"GeForce GTX 950 (0)","compress(unsigned int const *, unsigned int const *, uint2*, int)",8,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","compress(unsigned int const *, unsigned int const *, uint2*, int)",8,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","compress(unsigned int const *, unsigned int const *, uint2*, int)",8,"gld_transactions_per_request","Global Load Transactions Per Request",7.875000,7.875000,7.875000
