==21150== NVPROF is profiling process 21150, command: ./fastWalshTransform 0
==21150== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==21150== Profiling application: ./fastWalshTransform 0
==21150== Profiling result:
==21150== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"sm_efficiency","Multiprocessor Activity",99.635248%,99.692456%,99.670557%
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"achieved_occupancy","Achieved Occupancy",0.968159,0.968405,0.968251
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"ipc","Executed IPC",2.241031,2.248607,2.244511
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"issued_ipc","Issued IPC",2.235142,2.243074,2.240071
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"inst_per_warp","Instructions per warp",307.000000,307.000000,307.000000
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",97.068404%,97.068404%,97.068404%
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"inst_replay_overhead","Instruction Replay Overhead",0.000075,0.000075,0.000075
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"issue_slot_utilization","Issue Slot Utilization",46.777437%,46.943441%,46.880574%
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",2.000000,2.000000,2.000000
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",2.000000,2.000000,2.000000
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"gld_transactions_per_request","Global Load Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"shared_store_transactions","Shared Store Transactions",3407872,3407872,3407872
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"shared_load_transactions","Shared Load Transactions",3407872,3407872,3407872
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"gld_transactions","Global Load Transactions",2097152,2097152,2097152
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"gst_transactions","Global Store Transactions",1048576,1048576,1048576
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"dram_read_transactions","Device Memory Read Transactions",1048584,1048616,1048602
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"dram_write_transactions","Device Memory Write Transactions",1048415,1048517,1048463
"GeForce GTX 950 (0)","fwtBatch1Kernel(float*, float*, int)",3,"global_hit_rate","Global Hit Rate",50.000000%,50.000000%,50.000000%
