==21878== NVPROF is profiling process 21878, command: ./lineOfSight 0
==21878== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==21878== Profiling application: ./lineOfSight 0
==21878== Profiling result:
==21878== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"sm_efficiency","Multiprocessor Activity",49.927810%,60.480985%,53.326351%
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"achieved_occupancy","Achieved Occupancy",0.741576,0.768981,0.750059
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"ipc","Executed IPC",0.682865,1.150584,1.028139
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"issued_ipc","Issued IPC",0.760125,1.198007,1.058095
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"inst_per_warp","Instructions per warp",79.440625,79.440625,79.440625
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"warp_execution_efficiency","Warp Execution Efficiency",99.801591%,99.801837%,99.801722%
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",96.114187%,96.114187%,96.114187%
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"inst_replay_overhead","Instruction Replay Overhead",0.029897,0.031116,0.029933
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"issue_slot_utilization","Issue Slot Utilization",16.502628%,26.013575%,22.971758%
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gst_transactions_per_request","Global Store Transactions Per Request",3.993610,3.993610,3.993610
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gld_transactions","Global Load Transactions",0,0,0
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gst_transactions","Global Store Transactions",1250,1250,1250
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"dram_read_transactions","Device Memory Read Transactions",2353,2405,2361
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"dram_write_transactions","Device Memory Write Transactions",1735,1930,1869
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gst_requested_throughput","Requested Global Store Throughput",7.506888GB/s,8.563029GB/s,8.454546GB/s
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gst_throughput","Global Store Throughput",7.507639GB/s,8.563886GB/s,8.455478GB/s
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"dram_read_throughput","Device Memory Read Throughput",14.246495GB/s,16.310134GB/s,15.978701GB/s
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"dram_write_throughput","Device Memory Write Throughput",10.438621GB/s,13.054581GB/s,12.645498GB/s
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"tex_cache_throughput","Unified Cache Throughput",15.015277GB/s,17.127771GB/s,16.911887GB/s
