==12259== NVPROF is profiling process 12259, command: ./matrixMul 0
==12259== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12259== Profiling application: ./matrixMul 0
==12259== Profiling result:
==12259== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"sm_efficiency","Multiprocessor Activity",96.681529%,98.153070%,97.497610%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"achieved_occupancy","Achieved Occupancy",0.982773,0.988909,0.985804
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"ipc","Executed IPC",1.643149,1.671574,1.660324
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"issued_ipc","Issued IPC",1.645672,1.673542,1.661059
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"inst_per_warp","Instructions per warp",962.000000,962.000000,962.000000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.792100%,99.792100%,99.792100%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"inst_replay_overhead","Instruction Replay Overhead",0.000187,0.000187,0.000187
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"issue_slot_utilization","Issue Slot Utilization",26.814990%,27.269110%,27.065714%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.200000,1.200000,1.200000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"gld_transactions_per_request","Global Load Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"shared_store_transactions","Shared Store Transactions",128000,128000,128000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"shared_load_transactions","Shared Load Transactions",3072000,3072000,3072000
