==22437== NVPROF is profiling process 22437, command: ./radixSortThrust 0
==22437== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22437== Profiling application: ./radixSortThrust 0
==22437== Profiling result:
==22437== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void thrust::system::cuda::detail::cub_::RadixSortScanBinsKernel<thrust::system::cuda::detail::cub_::DeviceRadixSortDispatch<bool=0, unsigned int, unsigned int, int>::PtxScanPolicy, int>(unsigned int*, int)",700,"sm_efficiency","Multiprocessor Activity",9.466167%,10.838126%,10.251901%
"GeForce GTX 950 (0)","void thrust::system::cuda::detail::cub_::RadixSortScanBinsKernel<thrust::system::cuda::detail::cub_::DeviceRadixSortDispatch<bool=0, unsigned int, unsigned int, int>::PtxScanPolicy, int>(unsigned int*, int)",700,"achieved_occupancy","Achieved Occupancy",0.473888,0.479656,0.476377
"GeForce GTX 950 (0)","void thrust::system::cuda::detail::cub_::RadixSortScanBinsKernel<thrust::system::cuda::detail::cub_::DeviceRadixSortDispatch<bool=0, unsigned int, unsigned int, int>::PtxScanPolicy, int>(unsigned int*, int)",700,"ipc","Executed IPC",1.195076,1.524810,1.374463
"GeForce GTX 950 (0)","void thrust::system::cuda::detail::cub_::RadixSortScanBinsKernel<thrust::system::cuda::detail::cub_::DeviceRadixSortDispatch<bool=0, unsigned int, unsigned int, int>::PtxScanPolicy, int>(unsigned int*, int)",700,"issued_ipc","Issued IPC",1.202587,1.543400,1.387341
"GeForce GTX 950 (0)","void thrust::system::cuda::detail::cub_::RadixSortScanBinsKernel<thrust::system::cuda::detail::cub_::DeviceRadixSortDispatch<bool=0, unsigned int, unsigned int, int>::PtxScanPolicy, int>(unsigned int*, int)",700,"inst_per_warp","Instructions per warp",238.156250,238.156250,238.156250
"GeForce GTX 950 (0)","void thrust::system::cuda::detail::cub_::RadixSortScanBinsKernel<thrust::system::cuda::detail::cub_::DeviceRadixSortDispatch<bool=0, unsigned int, unsigned int, int>::PtxScanPolicy, int>(unsigned int*, int)",700,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void thrust::system::cuda::detail::cub_::RadixSortScanBinsKernel<thrust::system::cuda::detail::cub_::DeviceRadixSortDispatch<bool=0, unsigned int, unsigned int, int>::PtxScanPolicy, int>(unsigned int*, int)",700,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void thrust::system::cuda::detail::cub_::RadixSortScanBinsKernel<thrust::system::cuda::detail::cub_::DeviceRadixSortDispatch<bool=0, unsigned int, unsigned int, int>::PtxScanPolicy, int>(unsigned int*, int)",700,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.320430%,98.321250%,98.320869%
"GeForce GTX 950 (0)","void thrust::system::cuda::detail::cub_::RadixSortScanBinsKernel<thrust::system::cuda::detail::cub_::DeviceRadixSortDispatch<bool=0, unsigned int, unsigned int, int>::PtxScanPolicy, int>(unsigned int*, int)",700,"inst_replay_overhead","Instruction Replay Overhead",0.012597,0.012597,0.012597
"GeForce GTX 950 (0)","void thrust::system::cuda::detail::cub_::RadixSortScanBinsKernel<thrust::system::cuda::detail::cub_::DeviceRadixSortDispatch<bool=0, unsigned int, unsigned int, int>::PtxScanPolicy, int>(unsigned int*, int)",700,"issue_slot_utilization","Issue Slot Utilization",27.812841%,35.695000%,32.085743%
