==29726== NVPROF is profiling process 29726, command: ./reduction 0
==29726== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==29726== Profiling application: ./reduction 0
==29726== Profiling result:
==29726== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"sm_efficiency","Multiprocessor Activity",78.861864%,84.750394%,79.836022%
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"achieved_occupancy","Achieved Occupancy",0.899405,0.999168,0.992942
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"ipc","Executed IPC",0.577402,0.617470,0.610932
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"issued_ipc","Issued IPC",0.581496,0.617279,0.611065
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"inst_per_warp","Instructions per warp",6183.500000,6183.500000,6183.500000
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"warp_execution_efficiency","Warp Execution Efficiency",99.992167%,99.992167%,99.992167%
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.874854%,99.874858%,99.874856%
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"inst_replay_overhead","Instruction Replay Overhead",0.000243,0.000243,0.000243
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"issue_slot_utilization","Issue Slot Utilization",12.114403%,12.859879%,12.730417%
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.411765,0.411765,0.411765
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.583333,0.583333,0.583333
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"gld_transactions_per_request","Global Load Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"shared_store_transactions","Shared Store Transactions",896,896,896
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"shared_load_transactions","Shared Load Transactions",448,448,448
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"gld_transactions","Global Load Transactions",4194304,4194304,4194304
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"gst_transactions","Global Store Transactions",64,64,64
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"dram_read_transactions","Device Memory Read Transactions",2085992,2092700,2087877
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"dram_write_transactions","Device Memory Write Transactions",15955,16375,16201
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"global_hit_rate","Global Hit Rate",50.000000%,50.000000%,50.000000%
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int)",101,"gld_requested_throughput","Requested Global Load Throughput",83.884285GB/s,84.419303GB/s,84.159896GB/s
