==15585== NVPROF is profiling process 15585, command: ./shfl_scan 0
==15585== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15585== Profiling application: ./shfl_scan 0
==15585== Profiling result:
==15585== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"sm_efficiency","Multiprocessor Activity",97.295064%,97.295064%,97.295064%
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"achieved_occupancy","Achieved Occupancy",0.894051,0.894051,0.894051
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"ipc","Executed IPC",1.812320,1.812320,1.812320
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"issued_ipc","Issued IPC",1.771140,1.771140,1.771140
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"inst_per_warp","Instructions per warp",374.500000,374.500000,374.500000
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"warp_execution_efficiency","Warp Execution Efficiency",89.218959%,89.218959%,89.218959%
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",74.232306%,74.232306%,74.232306%
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000475,0.000475,0.000475
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"issue_slot_utilization","Issue Slot Utilization",38.162820%,38.162820%,38.162820%
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.800000,0.800000,0.800000
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",15.000000,15.000000,15.000000
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",15.000000,15.000000,15.000000
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"shared_store_transactions","Shared Store Transactions",4320,4320,4320
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"shared_load_transactions","Shared Load Transactions",4320,4320,4320
