==17660== NVPROF is profiling process 17660, command: ./simpleCUBLAS 0
==17660== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==17660== Profiling application: ./simpleCUBLAS 0
==17660== Profiling result:
==17660== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"sm_efficiency","Multiprocessor Activity",82.561021%,82.561021%,82.561021%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"achieved_occupancy","Achieved Occupancy",0.134753,0.134753,0.134753
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"ipc","Executed IPC",3.088526,3.088526,3.088526
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"issued_ipc","Issued IPC",3.153422,3.153422,3.153422
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"inst_per_warp","Instructions per warp",21629.000000,21629.000000,21629.000000
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.214569%,98.214569%,98.214569%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"inst_replay_overhead","Instruction Replay Overhead",0.000231,0.000231,0.000231
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"issue_slot_utilization","Issue Slot Utilization",71.438115%,71.438115%,71.438115%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.933775,1.933775,1.933775
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.190889,1.190889,1.190889
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"gld_transactions_per_request","Global Load Transactions Per Request",7.007122,7.007122,7.007122
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"gst_transactions_per_request","Global Store Transactions Per Request",3.024479,3.024479,3.024479
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"shared_store_transactions","Shared Store Transactions",32940,32940,32940
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"shared_load_transactions","Shared Load Transactions",140160,140160,140160
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"gld_transactions","Global Load Transactions",190874,190874,190874
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"gst_transactions","Global Store Transactions",11614,11614,11614
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"dram_read_transactions","Device Memory Read Transactions",10155,10155,10155
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"dram_write_transactions","Device Memory Write Transactions",10447,10447,10447
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"global_hit_rate","Global Hit Rate",58.669594%,58.669594%,58.669594%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"gld_requested_throughput","Requested Global Load Throughput",40.203365GB/s,40.203365GB/s,40.203333GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"gst_requested_throughput","Requested Global Store Throughput",5.025421GB/s,5.025421GB/s,5.025417GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"gld_throughput","Global Load Throughput",101.471432GB/s,101.471432GB/s,101.471320GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"gst_throughput","Global Store Throughput",6.174174GB/s,6.174174GB/s,6.173737GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"dram_read_throughput","Device Memory Read Throughput",5.398548GB/s,5.398548GB/s,5.397946GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"dram_write_throughput","Device Memory Write Throughput",5.553779GB/s,5.553779GB/s,5.553477GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"tex_cache_throughput","Unified Cache Throughput",40.770066GB/s,40.770066GB/s,40.769577GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"shared_load_throughput","Shared Memory Load Throughput",298.044488GB/s,298.044488GB/s,298.043713GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"shared_store_throughput","Shared Memory Store Throughput",70.045558GB/s,70.045558GB/s,70.044771GB/s
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"gld_efficiency","Global Memory Load Efficiency",39.620378%,39.620378%,39.620378%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"gst_efficiency","Global Memory Store Efficiency",81.394222%,81.394222%,81.394222%
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"tex_cache_transactions","Unified Cache Transactions",76691,76691,76691
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"tex_fu_utilization","Texture Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 950 (0)","maxwell_sgemm_128x64_raggedMn_nn",1,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (2)","Low (2)","Low (2)"
