==16095== NVPROF is profiling process 16095, command: ./threadFenceReduction 0
==16095== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==16095== Profiling application: ./threadFenceReduction 0
==16095== Profiling result:
==16095== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"sm_efficiency","Multiprocessor Activity",93.033748%,93.033748%,93.033748%
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"achieved_occupancy","Achieved Occupancy",0.654782,0.654782,0.654782
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"ipc","Executed IPC",0.647716,0.647716,0.647716
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"issued_ipc","Issued IPC",0.654897,0.654897,0.654897
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"inst_per_warp","Instructions per warp",929.000000,929.000000,929.000000
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"warp_execution_efficiency","Warp Execution Efficiency",99.869704%,99.869704%,99.869704%
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.411329%,99.411329%,99.411329%
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.002153,0.002153,0.002153
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"issue_slot_utilization","Issue Slot Utilization",14.029110%,14.029110%,14.029110%
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.818182,0.818182,0.818182
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.857143,0.857143,0.857143
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"shared_store_transactions","Shared Store Transactions",768,768,768
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"shared_load_transactions","Shared Load Transactions",576,576,576
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"gld_transactions","Global Load Transactions",262144,262144,262144
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"gst_transactions","Global Store Transactions",64,64,64
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"dram_read_transactions","Device Memory Read Transactions",131032,131032,131032
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"dram_write_transactions","Device Memory Write Transactions",16230,16230,16230
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"global_hit_rate","Global Hit Rate",50.000000%,50.000000%,50.000000%
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int)",1,"gld_requested_throughput","Requested Global Load Throughput",72.784103GB/s,72.784103GB/s,72.783791GB/s
