==4853== NVPROF is profiling process 4853, command: ./bfs -i ../../datasets/bfs/NY/input/graph_input.dat -o out.dat -d 0
==4853== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4853== Profiling application: ./bfs -i ../../datasets/bfs/NY/input/graph_input.dat -o out.dat -d 0
==4853== Profiling result:
==4853== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"sm_efficiency","Multiprocessor Activity",90.521039%,99.840277%,95.946905%
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"achieved_occupancy","Achieved Occupancy",0.579208,0.583261,0.581469
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"ipc","Executed IPC",0.169246,0.219324,0.191906
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"issued_ipc","Issued IPC",0.174630,0.219557,0.193871
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"inst_per_warp","Instructions per warp",157.071429,12829.540179,3126.397321
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"branch_efficiency","Branch Efficiency",97.145319%,98.325041%,97.958826%
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"warp_execution_efficiency","Warp Execution Efficiency",74.552567%,78.839362%,76.634900%
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",64.723108%,69.700647%,66.922039%
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"inst_replay_overhead","Instruction Replay Overhead",0.000385,0.030743,0.012411
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"issue_slot_utilization","Issue Slot Utilization",4.124040%,5.178447%,4.580431%
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.272092,1.410146,1.307918
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.526953,0.693770,0.567821
"GeForce GTX 950 (0)","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*)",5,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
