==4898== NVPROF is profiling process 4898, command: ./cutcp -i ../../datasets/cutcp/small/input/watbox.sl40.pqr -o out_small -d 0
==4898== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4898== Profiling application: ./cutcp -i ../../datasets/cutcp/small/input/watbox.sl40.pqr -o out_small -d 0
==4898== Profiling result:
==4898== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"sm_efficiency","Multiprocessor Activity",94.512335%,98.100309%,96.372586%
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"achieved_occupancy","Achieved Occupancy",0.831185,0.867397,0.851810
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"ipc","Executed IPC",2.927183,3.135821,3.069621
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"issued_ipc","Issued IPC",2.897004,3.126833,3.063174
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"inst_per_warp","Instructions per warp",31531.388430,70097.018595,56915.416228
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"branch_efficiency","Branch Efficiency",99.994266%,99.997368%,99.996537%
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"warp_execution_efficiency","Warp Execution Efficiency",91.842262%,92.595413%,92.144811%
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",84.132467%,85.999360%,84.723293%
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"inst_replay_overhead","Instruction Replay Overhead",0.000044,0.000099,0.000059
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"issue_slot_utilization","Issue Slot Utilization",62.445572%,67.740527%,66.259506%
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.982759,1.982759,1.982759
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"gld_transactions_per_request","Global Load Transactions Per Request",7.976190,7.976190,7.976190
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"shared_store_transactions","Shared Store Transactions",83490,83490,83490
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"shared_load_transactions","Shared Load Transactions",938668,1996292,1593205
"GeForce GTX 950 (0)","cuda_cutoff_potential_lattice6overlap(int, int, float4*, float, float, float, float*, int)",11,"local_load_transactions","Local Load Transactions",0,0,0
