==29113== NVPROF is profiling process 29113, command: ./3mm.exe 0
==29113== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==29113== Profiling application: ./3mm.exe 0
==29113== Profiling result:
==29113== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"sm_efficiency","Multiprocessor Activity",98.427402%,98.427402%,98.427402%
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"achieved_occupancy","Achieved Occupancy",0.984663,0.984663,0.984663
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"ipc","Executed IPC",0.742619,0.742619,0.742619
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"issued_ipc","Issued IPC",0.742333,0.742333,0.742333
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"inst_per_warp","Instructions per warp",2871.000000,2871.000000,2871.000000
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.930338%,99.930338%,99.930338%
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000033,0.000033,0.000033
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"issue_slot_utilization","Issue Slot Utilization",18.454895%,18.454895%,18.454895%
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","mm3_kernel1(float*, float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
