==29263== NVPROF is profiling process 29263, command: ./correlation.exe 0
==29263== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==29263== Profiling application: ./correlation.exe 0
==29263== Profiling result:
==29263== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"sm_efficiency","Multiprocessor Activity",97.735958%,97.735958%,97.735958%
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"achieved_occupancy","Achieved Occupancy",0.167116,0.167116,0.167116
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"ipc","Executed IPC",0.139463,0.139463,0.139463
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"issued_ipc","Issued IPC",0.139674,0.139674,0.139674
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"inst_per_warp","Instructions per warp",11974.000000,11974.000000,11974.000000
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.974946%,99.974946%,99.974946%
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000244,0.000244,0.000244
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"issue_slot_utilization","Issue Slot Utilization",3.415466%,3.415466%,3.415466%
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",9.750000,9.750000,9.750000
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",5.000000,5.000000,5.000000
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","std_kernel(float*, float*, float*)",1,"gld_transactions","Global Load Transactions",2555904,2555904,2555904
