==30446== NVPROF is profiling process 30446, command: ./covariance.exe 0
==30446== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==30446== Profiling application: ./covariance.exe 0
==30446== Profiling result:
==30446== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"sm_efficiency","Multiprocessor Activity",97.065928%,97.065928%,97.065928%
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"achieved_occupancy","Achieved Occupancy",0.841367,0.841367,0.841367
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"ipc","Executed IPC",1.536774,1.536774,1.536774
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"issued_ipc","Issued IPC",1.536395,1.536395,1.536395
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"inst_per_warp","Instructions per warp",32.000000,32.000000,32.000000
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",96.875000%,96.875000%,96.875000%
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000732,0.000732,0.000732
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"issue_slot_utilization","Issue Slot Utilization",37.210446%,37.210446%,37.210446%
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",9.750000,9.750000,9.750000
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.875000,4.875000,4.875000
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"gld_transactions","Global Load Transactions",638976,638976,638976
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"gst_transactions","Global Store Transactions",159744,159744,159744
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"dram_read_transactions","Device Memory Read Transactions",131410,131410,131410
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"dram_write_transactions","Device Memory Write Transactions",132417,132417,132417
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"global_hit_rate","Global Hit Rate",49.358974%,49.358974%,49.358974%
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"gld_requested_throughput","Requested Global Load Throughput",80.978689GB/s,80.978689GB/s,80.978498GB/s
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"gst_requested_throughput","Requested Global Store Throughput",40.489345GB/s,40.489345GB/s,40.489249GB/s
"GeForce GTX 950 (0)","reduce_kernel(float*, float*)",1,"gld_throughput","Global Load Throughput",99.958069GB/s,99.958069GB/s,99.957921GB/s
