==31618== NVPROF is profiling process 31618, command: ./fdtd2d.exe 0
==31618== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==31618== Profiling application: ./fdtd2d.exe 0
==31618== Profiling result:
==31618== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"sm_efficiency","Multiprocessor Activity",99.396949%,99.548490%,99.522544%
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"achieved_occupancy","Achieved Occupancy",0.874817,0.885466,0.882651
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"ipc","Executed IPC",0.978376,1.186372,0.983039
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"issued_ipc","Issued IPC",0.978775,1.187971,0.983087
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"inst_per_warp","Instructions per warp",34.996582,34.996582,34.996582
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",94.286551%,94.286551%,94.286551%
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"inst_replay_overhead","Instruction Replay Overhead",0.000221,0.000231,0.000226
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"issue_slot_utilization","Issue Slot Utilization",23.071994%,28.003224%,23.173627%
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gld_transactions_per_request","Global Load Transactions Per Request",7.999349,7.999349,7.999349
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gld_transactions","Global Load Transactions",3144448,3144448,3144448
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gst_transactions","Global Store Transactions",524288,524288,524288
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"dram_read_transactions","Device Memory Read Transactions",1048327,1048431,1048343
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"dram_write_transactions","Device Memory Write Transactions",522036,524201,523605
"GeForce GTX 950 (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"global_hit_rate","Global Hit Rate",50.002035%,50.002035%,50.002035%
