==3400== NVPROF is profiling process 3400, command: ./gesummv.exe 0
==3400== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3400== Profiling application: ./gesummv.exe 0
==3400== Profiling result:
==3400== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"sm_efficiency","Multiprocessor Activity",91.920372%,91.920372%,91.920372%
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"achieved_occupancy","Achieved Occupancy",0.339556,0.339556,0.339556
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"ipc","Executed IPC",0.052128,0.052128,0.052128
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"issued_ipc","Issued IPC",0.048701,0.048701,0.048701
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"inst_per_warp","Instructions per warp",51749.000000,51749.000000,51749.000000
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.996135%,99.996135%,99.996135%
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000064,0.000064,0.000064
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"issue_slot_utilization","Issue Slot Utilization",1.133187%,1.133187%,1.133187%
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",14.666395,14.666395,14.666395
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"gld_transactions","Global Load Transactions",46138368,46138368,46138368
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"gst_transactions","Global Store Transactions",4194816,4194816,4194816
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"dram_read_transactions","Device Memory Read Transactions",16825985,16825985,16825985
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"dram_write_transactions","Device Memory Write Transactions",136366,136366,136366
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"global_hit_rate","Global Hit Rate",15.909848%,15.909848%,15.909848%
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"gld_requested_throughput","Requested Global Load Throughput",14.988355GB/s,14.988355GB/s,14.987774GB/s
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"gst_requested_throughput","Requested Global Store Throughput",7.379340GB/s,7.379340GB/s,7.378869GB/s
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"gld_throughput","Global Load Throughput",68.251460GB/s,68.251460GB/s,68.251044GB/s
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"gst_throughput","Global Store Throughput",7.379340GB/s,7.379340GB/s,7.378869GB/s
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"dram_read_throughput","Device Memory Read Throughput",29.599548GB/s,29.599548GB/s,29.599294GB/s
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"dram_write_throughput","Device Memory Write Throughput",245.646532MB/s,245.646532MB/s,245.094299MB/s
"GeForce GTX 950 (0)","gesummv_kernel(float*, float*, float*, float*, float*)",1,"tex_cache_throughput","Unified Cache Throughput",22.136217GB/s,22.136217GB/s,22.135675GB/s
