==27872== NVPROF is profiling process 27872, command: ./b+tree.out file ../data/b+tree/mil.txt command ../data/b+tree/command.txt 0
==27872== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==27872== Profiling application: ./b+tree.out file ../data/b+tree/mil.txt command ../data/b+tree/command.txt 0
==27872== Profiling result:
==27872== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","findRangeK",1,"sm_efficiency","Multiprocessor Activity",99.819609%,99.819609%,99.819609%
"GeForce GTX 950 (0)","findRangeK",1,"achieved_occupancy","Achieved Occupancy",0.946643,0.946643,0.946643
"GeForce GTX 950 (0)","findRangeK",1,"ipc","Executed IPC",1.583730,1.583730,1.583730
"GeForce GTX 950 (0)","findRangeK",1,"issued_ipc","Issued IPC",1.587302,1.587302,1.587302
"GeForce GTX 950 (0)","findRangeK",1,"inst_per_warp","Instructions per warp",235.137979,235.137979,235.137979
"GeForce GTX 950 (0)","findRangeK",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","findRangeK",1,"warp_execution_efficiency","Warp Execution Efficiency",97.675456%,97.675456%,97.675456%
"GeForce GTX 950 (0)","findRangeK",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",86.483644%,86.483644%,86.483644%
"GeForce GTX 950 (0)","findRangeK",1,"inst_replay_overhead","Instruction Replay Overhead",0.000035,0.000035,0.000035
"GeForce GTX 950 (0)","findRangeK",1,"issue_slot_utilization","Issue Slot Utilization",35.780044%,35.780044%,35.780044%
"GeForce GTX 950 (0)","findRangeK",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","findRangeK",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","findRangeK",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","findRangeK",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","findRangeK",1,"gld_transactions_per_request","Global Load Transactions Per Request",4.641396,4.641396,4.641396
"GeForce GTX 950 (0)","findRangeK",1,"gst_transactions_per_request","Global Store Transactions Per Request",0.117647,0.117647,0.117647
"GeForce GTX 950 (0)","findRangeK",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","findRangeK",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","findRangeK",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","findRangeK",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","findRangeK",1,"gld_transactions","Global Load Transactions",10731529,10731529,10731529
"GeForce GTX 950 (0)","findRangeK",1,"gst_transactions","Global Store Transactions",60000,60000,60000
"GeForce GTX 950 (0)","findRangeK",1,"dram_read_transactions","Device Memory Read Transactions",713948,713948,713948
"GeForce GTX 950 (0)","findRangeK",1,"dram_write_transactions","Device Memory Write Transactions",23444,23444,23444
"GeForce GTX 950 (0)","findRangeK",1,"global_hit_rate","Global Hit Rate",59.779347%,59.779347%,59.779347%
"GeForce GTX 950 (0)","findRangeK",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","findRangeK",1,"gld_requested_throughput","Requested Global Load Throughput",40.939540GB/s,40.939540GB/s,40.939078GB/s
