==28039== NVPROF is profiling process 28039, command: ./heartwall ../data/heartwall/test.avi 20 0
==28039== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==28039== Profiling application: ./heartwall ../data/heartwall/test.avi 20 0
==28039== Profiling result:
==28039== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","kernel(void)",20,"sm_efficiency","Multiprocessor Activity",94.329557%,94.553415%,94.509933%
"GeForce GTX 950 (0)","kernel(void)",20,"achieved_occupancy","Achieved Occupancy",0.115647,0.125000,0.124532
"GeForce GTX 950 (0)","kernel(void)",20,"ipc","Executed IPC",0.258506,0.322385,0.319174
"GeForce GTX 950 (0)","kernel(void)",20,"issued_ipc","Issued IPC",0.258663,0.322393,0.319184
"GeForce GTX 950 (0)","kernel(void)",20,"inst_per_warp","Instructions per warp",6701.000000,16929358.078431,16076667.773897
"GeForce GTX 950 (0)","kernel(void)",20,"branch_efficiency","Branch Efficiency",99.955450%,100.000000%,99.957678%
"GeForce GTX 950 (0)","kernel(void)",20,"warp_execution_efficiency","Warp Execution Efficiency",77.752581%,95.352313%,78.633011%
"GeForce GTX 950 (0)","kernel(void)",20,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",77.285090%,95.182739%,78.180423%
"GeForce GTX 950 (0)","kernel(void)",20,"inst_replay_overhead","Instruction Replay Overhead",0.000000,0.000018,0.000001
"GeForce GTX 950 (0)","kernel(void)",20,"issue_slot_utilization","Issue Slot Utilization",6.466585%,8.059819%,7.979595%
"GeForce GTX 950 (0)","kernel(void)",20,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,1.010414,0.959893
"GeForce GTX 950 (0)","kernel(void)",20,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,1.000000,0.950000
"GeForce GTX 950 (0)","kernel(void)",20,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,7.964750,7.566512
"GeForce GTX 950 (0)","kernel(void)",20,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,3.985158,3.785900
"GeForce GTX 950 (0)","kernel(void)",20,"gld_transactions_per_request","Global Load Transactions Per Request",4.219240,4.250940,4.249242
"GeForce GTX 950 (0)","kernel(void)",20,"gst_transactions_per_request","Global Store Transactions Per Request",4.736695,7.119216,6.999318
"GeForce GTX 950 (0)","kernel(void)",20,"shared_store_transactions","Shared Store Transactions",0,10251,9738
"GeForce GTX 950 (0)","kernel(void)",20,"shared_load_transactions","Shared Load Transactions",0,36389369,34569811
"GeForce GTX 950 (0)","kernel(void)",20,"local_load_transactions","Local Load Transactions",0,437886,415991
"GeForce GTX 950 (0)","kernel(void)",20,"local_store_transactions","Local Store Transactions",0,219096,208141
"GeForce GTX 950 (0)","kernel(void)",20,"gld_transactions","Global Load Transactions",270698,679314804,645060009
"GeForce GTX 950 (0)","kernel(void)",20,"gst_transactions","Global Store Transactions",20292,6706035,6352842
"GeForce GTX 950 (0)","kernel(void)",20,"dram_read_transactions","Device Memory Read Transactions",10707,1423578,1316360
"GeForce GTX 950 (0)","kernel(void)",20,"dram_write_transactions","Device Memory Write Transactions",18560,2711388,2553286
"GeForce GTX 950 (0)","kernel(void)",20,"global_hit_rate","Global Hit Rate",62.652176%,69.607829%,63.000085%
"GeForce GTX 950 (0)","kernel(void)",20,"local_hit_rate","Local Hit Rate",0.000000%,49.965059%,47.466806%
"GeForce GTX 950 (0)","kernel(void)",20,"gld_requested_throughput","Requested Global Load Throughput",557.646595MB/s,1.276217GB/s,1.274049GB/s
"GeForce GTX 950 (0)","kernel(void)",20,"gst_requested_throughput","Requested Global Store Throughput",41.895564MB/s,359.740789MB/s,41.007996MB/s
"GeForce GTX 950 (0)","kernel(void)",20,"gld_throughput","Global Load Throughput",1.741735GB/s,2.904764GB/s,2.901070GB/s
"GeForce GTX 950 (0)","kernel(void)",20,"gst_throughput","Global Store Throughput",77.818451MB/s,439.906299MB/s,77.247620MB/s
"GeForce GTX 950 (0)","kernel(void)",20,"dram_read_throughput","Device Memory Read Throughput",15.760045MB/s,232.114958MB/s,15.258789MB/s
"GeForce GTX 950 (0)","kernel(void)",20,"dram_write_throughput","Device Memory Write Throughput",31.146051MB/s,402.358609MB/s,30.517578MB/s
"GeForce GTX 950 (0)","kernel(void)",20,"tex_cache_throughput","Unified Cache Throughput",6.296846GB/s,7.962723GB/s,7.955357GB/s
"GeForce GTX 950 (0)","kernel(void)",20,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,5.136302MB/s,3.814697MB/s
"GeForce GTX 950 (0)","kernel(void)",20,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,2.569945MB/s,976.562500KB/s
"GeForce GTX 950 (0)","kernel(void)",20,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,1.667339GB/s,1.665205GB/s
