==24401== NVPROF is profiling process 24401, command: ./hybridsort r 0
==24401== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==24401== Profiling application: ./hybridsort r 0
==24401== Profiling result:
==24401== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"sm_efficiency","Multiprocessor Activity",99.110595%,99.276526%,99.188876%
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"achieved_occupancy","Achieved Occupancy",0.873669,0.875160,0.874208
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"ipc","Executed IPC",0.395507,0.396880,0.396356
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"issued_ipc","Issued IPC",0.396120,0.396753,0.396375
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"inst_per_warp","Instructions per warp",36.997712,36.997712,36.997712
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"warp_execution_efficiency","Warp Execution Efficiency",99.998130%,99.998135%,99.998132%
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",97.295584%,97.295584%,97.295584%
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"inst_replay_overhead","Instruction Replay Overhead",0.000950,0.000950,0.000950
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"issue_slot_utilization","Issue Slot Utilization",9.365044%,9.380015%,9.371064%
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"gst_transactions_per_request","Global Store Transactions Per Request",15.999573,15.999573,15.999573
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"gld_transactions","Global Load Transactions",0,0,0
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"gst_transactions","Global Store Transactions",524482,524482,524482
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"dram_read_transactions","Device Memory Read Transactions",524491,524547,524515
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"dram_write_transactions","Device Memory Write Transactions",522065,523540,522979
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"gst_requested_throughput","Requested Global Store Throughput",43.524949GB/s,43.541074GB/s,43.533742GB/s
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"gst_throughput","Global Store Throughput",43.524991GB/s,43.541116GB/s,43.533742GB/s
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"dram_read_throughput","Device Memory Read Throughput",43.525737GB/s,43.546512GB/s,43.536536GB/s
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"dram_write_throughput","Device Memory Write Throughput",43.337324GB/s,43.446817GB/s,43.409877GB/s
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"tex_cache_throughput","Unified Cache Throughput",43.524991GB/s,43.541116GB/s,43.533742GB/s
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"gld_efficiency","Global Memory Load Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"gst_efficiency","Global Memory Store Efficiency",99.999905%,99.999905%,99.999905%
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"tex_cache_transactions","Unified Cache Transactions",524482,524482,524482
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","mergeSortFirst(float4*, int)",4,"tex_fu_utilization","Texture Function Unit Utilization","Low (2)","Low (2)","Low (2)"
