==12356== NVPROF is profiling process 12356, command: ./BFS -d 0
==12356== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12356== Profiling application: ./BFS -d 0
==12356== Profiling result:
==12356== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"sm_efficiency","Multiprocessor Activity",12.838071%,15.304300%,14.463685%
"GeForce GTX 950 (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"achieved_occupancy","Achieved Occupancy",0.162678,0.465504,0.292056
"GeForce GTX 950 (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"ipc","Executed IPC",0.432530,1.244491,0.756620
"GeForce GTX 950 (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"issued_ipc","Issued IPC",0.434414,1.254467,0.761059
"GeForce GTX 950 (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_per_warp","Instructions per warp",450.000000,815.750000,536.500000
"GeForce GTX 950 (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"warp_execution_efficiency","Warp Execution Efficiency",69.149364%,99.837240%,90.896590%
"GeForce GTX 950 (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",66.304494%,98.279948%,89.016330%
"GeForce GTX 950 (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_replay_overhead","Instruction Replay Overhead",0.002452,0.004444,0.003879
"GeForce GTX 950 (0)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"issue_slot_utilization","Issue Slot Utilization",9.365075%,26.814831%,16.483579%
