==12959== NVPROF is profiling process 12959, command: ./Reduction -d 0
==12959== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12959== Profiling application: ./Reduction -d 0
==12959== Profiling result:
==12959== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"sm_efficiency","Multiprocessor Activity",60.397546%,84.368949%,67.455094%
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"achieved_occupancy","Achieved Occupancy",0.769454,0.952618,0.883583
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"ipc","Executed IPC",0.628019,1.177660,0.990747
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"issued_ipc","Issued IPC",0.630160,1.193479,1.008793
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"inst_per_warp","Instructions per warp",159.750000,159.750000,159.750000
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"warp_execution_efficiency","Warp Execution Efficiency",99.620684%,99.621295%,99.620988%
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",95.158451%,95.158451%,95.158451%
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"inst_replay_overhead","Instruction Replay Overhead",0.016603,0.017178,0.016838
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"issue_slot_utilization","Issue Slot Utilization",12.928833%,24.488940%,20.698022%
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.816514,0.816514,0.816514
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.893617,0.893617,0.893617
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"gld_transactions_per_request","Global Load Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"shared_store_transactions","Shared Store Transactions",5376,5376,5376
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"shared_load_transactions","Shared Load Transactions",5696,5696,5696
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"gld_transactions","Global Load Transactions",65536,65536,65536
"GeForce GTX 950 (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"gst_transactions","Global Store Transactions",64,64,64
