==16032== NVPROF is profiling process 16032, command: ./Sort -d 0
==16032== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==16032== Profiling application: ./Sort -d 0
==16032== Profiling result:
==16032== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","scan(unsigned int*, unsigned int*, unsigned int*, int, bool, bool)",160,"sm_efficiency","Multiprocessor Activity",7.193438%,58.014366%,28.783489%
"GeForce GTX 950 (0)","scan(unsigned int*, unsigned int*, unsigned int*, int, bool, bool)",160,"achieved_occupancy","Achieved Occupancy",0.117426,0.167405,0.142643
"GeForce GTX 950 (0)","scan(unsigned int*, unsigned int*, unsigned int*, int, bool, bool)",160,"ipc","Executed IPC",0.214042,0.369389,0.316864
"GeForce GTX 950 (0)","scan(unsigned int*, unsigned int*, unsigned int*, int, bool, bool)",160,"issued_ipc","Issued IPC",0.227573,0.378999,0.332392
"GeForce GTX 950 (0)","scan(unsigned int*, unsigned int*, unsigned int*, int, bool, bool)",160,"inst_per_warp","Instructions per warp",108.000000,125.375000,116.687500
"GeForce GTX 950 (0)","scan(unsigned int*, unsigned int*, unsigned int*, int, bool, bool)",160,"branch_efficiency","Branch Efficiency",94.117647%,100.000000%,97.058824%
"GeForce GTX 950 (0)","scan(unsigned int*, unsigned int*, unsigned int*, int, bool, bool)",160,"warp_execution_efficiency","Warp Execution Efficiency",98.012213%,100.000000%,99.006107%
"GeForce GTX 950 (0)","scan(unsigned int*, unsigned int*, unsigned int*, int, bool, bool)",160,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",84.527667%,95.391168%,89.958033%
"GeForce GTX 950 (0)","scan(unsigned int*, unsigned int*, unsigned int*, int, bool, bool)",160,"inst_replay_overhead","Instruction Replay Overhead",0.031904,0.037037,0.034471
"GeForce GTX 950 (0)","scan(unsigned int*, unsigned int*, unsigned int*, int, bool, bool)",160,"issue_slot_utilization","Issue Slot Utilization",5.375989%,8.967377%,7.858395%
"GeForce GTX 950 (0)","scan(unsigned int*, unsigned int*, unsigned int*, int, bool, bool)",160,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
